year,month,hbt,hb_name,treatment_location,location_name,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,is_covid_year
2017,01,S08000015,Ayrshire and Arran,A101H,Arran War Memorial Hospital,Minor Injury Unit or Other,186,NA,z,184,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000015,Ayrshire and Arran,A110H,Lady Margaret Hospital,Minor Injury Unit or Other,69,NA,z,67,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000015,Ayrshire and Arran,A111H,University Hospital Crosshouse,Emergency Department,5488,5488,NA,4856,4856,NA,2049,NA,7,NA,3107,NA,120,NA,205,NA,172,NA,35,NA,FALSE
2017,01,S08000015,Ayrshire and Arran,A210H,University Hospital Ayr,Emergency Department,3558,3558,NA,3234,3234,NA,1565,NA,6,NA,1787,NA,100,NA,100,NA,69,NA,25,NA,FALSE
2017,01,S08000015,Ayrshire and Arran,A216H,Girvan Community Hospital,Minor Injury Unit or Other,71,NA,z,71,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000016,Borders,B103H,The Knoll Hospital,Minor Injury Unit or Other,8,NA,z,8,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000016,Borders,B105H,Hawick Community  Hospital,Minor Injury Unit or Other,56,NA,z,56,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000016,Borders,B114H,Kelso Hospital,Minor Injury Unit or Other,5,NA,z,5,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000016,Borders,B118H,Hay Lodge Hospital,Minor Injury Unit or Other,36,NA,z,36,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000016,Borders,B120H,Borders General Hospital,Emergency Department,2323,2323,NA,2097,2097,NA,891,NA,1,NA,1237,NA,178,NA,16,NA,14,NA,2,NA,FALSE
2017,01,S08000017,Dumfries and Galloway,Y101H,Castle Douglas Community Hospital,Minor Injury Unit or Other,17,NA,z,17,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000017,Dumfries and Galloway,Y106H,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,32,NA,z,32,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000017,Dumfries and Galloway,Y109H,Moffat Community Hospital,Minor Injury Unit or Other,5,NA,z,5,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000017,Dumfries and Galloway,Y110H,Newton Stewart Hospital,Minor Injury Unit or Other,4,4,NA,4,4,NA,0,NA,0,NA,3,NA,1,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000017,Dumfries and Galloway,Y144H,Galloway Community Hospital,Emergency Department,937,937,NA,876,876,NA,77,NA,1,NA,760,NA,73,NA,26,NA,2,NA,0,NA,FALSE
2017,01,S08000017,Dumfries and Galloway,Y146H,Dumfries & Galloway Royal Infirmary,Emergency Department,3048,3048,NA,2749,2749,NA,1223,NA,8,NA,1680,NA,73,NA,64,NA,24,NA,4,NA,FALSE
2017,01,S08000029,Fife,F704H,Victoria Hospital,Emergency Department,4946,4946,NA,4500,4500,NA,1327,NA,11,NA,3327,NA,80,NA,201,NA,22,NA,0,NA,FALSE
2017,01,S08000029,Fife,F708H,Adamson Hospital,Minor Injury Unit or Other,100,100,NA,100,100,NA,0,NA,0,NA,0,NA,0,NA,100,NA,0,NA,0,NA,FALSE
2017,01,S08000029,Fife,F709H,St Andrews Community Hospital,Minor Injury Unit or Other,216,NA,z,216,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000029,Fife,F805H,Queen Margaret Hospital,Minor Injury Unit or Other,1621,1621,NA,1621,1621,NA,6,NA,0,NA,1464,NA,142,NA,9,NA,0,NA,0,NA,FALSE
2017,01,S08000019,Forth Valley,V201H,Stirling Community Hospital,Minor Injury Unit or Other,1084,1084,NA,1084,1084,NA,1,NA,0,NA,792,NA,32,NA,259,NA,0,NA,0,NA,FALSE
2017,01,S08000019,Forth Valley,V217H,Forth Valley Royal Hospital,Emergency Department,5097,5097,NA,4530,4530,NA,1628,NA,13,NA,2631,NA,118,NA,707,NA,86,NA,3,NA,FALSE
2017,01,S08000020,Grampian,N101H,Aberdeen Royal Infirmary,Emergency Department,4638,4638,NA,4200,4200,NA,1405,NA,13,NA,2815,NA,23,NA,382,NA,23,NA,0,NA,FALSE
2017,01,S08000020,Grampian,N121H,Royal Aberdeen Children's Hospital,Emergency Department,1182,1182,NA,1172,1172,NA,128,NA,1,NA,977,NA,0,NA,76,NA,0,NA,0,NA,FALSE
2017,01,S08000020,Grampian,N151H,Aboyne Hospital,Minor Injury Unit or Other,81,NA,z,81,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N331H,Inverurie Hospital,Minor Injury Unit or Other,12,NA,z,12,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N332H,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,23,NA,z,23,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N333H,Peterhead Community Hospital,Minor Injury Unit or Other,1374,NA,z,1372,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N334H,Fraserburgh Hospital,Minor Injury Unit or Other,738,NA,z,737,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N335H,Jubilee Hospital,Minor Injury Unit or Other,255,NA,z,253,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N336H,Turriff Cottage Hospital,Minor Injury Unit or Other,180,NA,z,180,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N337H,Chalmers Hospital,Minor Injury Unit or Other,241,NA,z,231,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N411H,Dr Gray's Hospital,Emergency Department,1799,1799,NA,1718,1718,NA,402,NA,1,NA,1343,NA,14,NA,39,NA,6,NA,0,NA,FALSE
2017,01,S08000020,Grampian,N431H,Seafield Hospital,Minor Injury Unit or Other,59,NA,z,59,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N432H,Stephen Cottage Hospital,Minor Injury Unit or Other,12,NA,z,12,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N433H,Turner Memorial Hospital,Minor Injury Unit or Other,78,NA,z,78,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
