year,quarter,quarter_qf,hb,hb_name,hbqf,location,location_name,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beddays,all_staffed_beddays_qf,total_occupied_beddays,total_occupied_beddays_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,yq
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15604,NA,11614,NA,171.4725275,NA,127.6263736,NA,74.42963343,NA,2017Q2
2017,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15426,NA,11658,NA,167.673913,NA,126.7173913,NA,75.57370673,NA,2017Q3
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,16159,NA,12434,NA,175.6413043,NA,135.1521739,NA,76.94783093,NA,2017Q4
2018,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15681,NA,11871,NA,174.2333333,NA,131.9,NA,75.70308016,NA,2018Q1
2018,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15817,NA,12349,NA,173.8131868,NA,135.7032967,NA,78.07422394,NA,2018Q2
2018,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15806,NA,12390,NA,171.8043478,NA,134.673913,NA,78.38795394,NA,2018Q3
2018,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,14852,NA,11765,NA,161.4347826,NA,127.8804348,NA,79.21492055,NA,2018Q4
2019,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,14783,NA,11654,NA,164.2555556,NA,129.4888889,NA,78.83379558,NA,2019Q1
2019,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,14929,NA,11897,NA,164.0549451,NA,130.7362637,NA,79.6905352,NA,2019Q2
2019,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15392,NA,12067,NA,167.3043478,NA,131.1630435,NA,78.39786902,NA,2019Q3
2019,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15603,NA,11659,NA,169.5978261,NA,126.7282609,NA,74.72280972,NA,2019Q4
2020,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,14896,NA,10915,NA,163.6923077,NA,119.9450549,NA,73.27470462,NA,2020Q1
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,14366,NA,8101,NA,157.8681319,NA,89.02197802,NA,56.39008771,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15442,NA,9934,NA,167.8478261,NA,107.9782609,NA,64.3310452,NA,2020Q3
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,15665,NA,11164,NA,170.2717391,NA,121.3478261,NA,71.26715608,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,16547,NA,12060,NA,183.8555556,NA,134,NA,72.88330211,NA,2021Q1
