Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2017Q2,,SB0801,,D102H,,,z,All Acute,d,15604,,11614,,171.4725275,,127.6263736,,74.42963343,
2017Q2,,SB0801,,SB0801,d,,z,All Acute,d,15604,,11614,,171.4725275,,127.6263736,,74.42963343,
2017Q3,,SB0801,,D102H,,,z,All Acute,d,15426,,11658,,167.673913,,126.7173913,,75.57370673,
2017Q3,,SB0801,,SB0801,d,,z,All Acute,d,15426,,11658,,167.673913,,126.7173913,,75.57370673,
2017Q4,,SB0801,,D102H,,,z,All Acute,d,16159,,12434,,175.6413043,,135.1521739,,76.94783093,
2017Q4,,SB0801,,SB0801,d,,z,All Acute,d,16159,,12434,,175.6413043,,135.1521739,,76.94783093,
2018Q1,,SB0801,,D102H,,,z,All Acute,d,15681,,11871,,174.2333333,,131.9,,75.70308016,
2018Q1,,SB0801,,SB0801,d,,z,All Acute,d,15681,,11871,,174.2333333,,131.9,,75.70308016,
2018Q2,,SB0801,,D102H,,,z,All Acute,d,15817,,12349,,173.8131868,,135.7032967,,78.07422394,
2018Q2,,SB0801,,SB0801,d,,z,All Acute,d,15817,,12349,,173.8131868,,135.7032967,,78.07422394,
2018Q3,,SB0801,,D102H,,,z,All Acute,d,15806,,12390,,171.8043478,,134.673913,,78.38795394,
2018Q3,,SB0801,,SB0801,d,,z,All Acute,d,15806,,12390,,171.8043478,,134.673913,,78.38795394,
2018Q4,,SB0801,,D102H,,,z,All Acute,d,14852,,11765,,161.4347826,,127.8804348,,79.21492055,
2018Q4,,SB0801,,SB0801,d,,z,All Acute,d,14852,,11765,,161.4347826,,127.8804348,,79.21492055,
2019Q1,,SB0801,,D102H,,,z,All Acute,d,14783,,11654,,164.2555556,,129.4888889,,78.83379558,
2019Q1,,SB0801,,SB0801,d,,z,All Acute,d,14783,,11654,,164.2555556,,129.4888889,,78.83379558,
2019Q2,,SB0801,,D102H,,,z,All Acute,d,14929,,11897,,164.0549451,,130.7362637,,79.6905352,
2019Q2,,SB0801,,SB0801,d,,z,All Acute,d,14929,,11897,,164.0549451,,130.7362637,,79.6905352,
2019Q3,,SB0801,,D102H,,,z,All Acute,d,15392,,12067,,167.3043478,,131.1630435,,78.39786902,
2019Q3,,SB0801,,SB0801,d,,z,All Acute,d,15392,,12067,,167.3043478,,131.1630435,,78.39786902,
2019Q4,,SB0801,,D102H,,,z,All Acute,d,15603,,11659,,169.5978261,,126.7282609,,74.72280972,
2019Q4,,SB0801,,SB0801,d,,z,All Acute,d,15603,,11659,,169.5978261,,126.7282609,,74.72280972,
2020Q1,,SB0801,,D102H,,,z,All Acute,d,14896,,10915,,163.6923077,,119.9450549,,73.27470462,
2020Q1,,SB0801,,SB0801,d,,z,All Acute,d,14896,,10915,,163.6923077,,119.9450549,,73.27470462,
2020Q2,,SB0801,,D102H,,,z,All Acute,d,14366,,8101,,157.8681319,,89.02197802,,56.39008771,
2020Q2,,SB0801,,SB0801,d,,z,All Acute,d,14366,,8101,,157.8681319,,89.02197802,,56.39008771,
2020Q3,,SB0801,,D102H,,,z,All Acute,d,15442,,9934,,167.8478261,,107.9782609,,64.3310452,
2020Q3,,SB0801,,SB0801,d,,z,All Acute,d,15442,,9934,,167.8478261,,107.9782609,,64.3310452,
2020Q4,,SB0801,,D102H,,,z,All Acute,d,15665,,11164,,170.2717391,,121.3478261,,71.26715608,
2020Q4,,SB0801,,SB0801,d,,z,All Acute,d,15665,,11164,,170.2717391,,121.3478261,,71.26715608,
2021Q1,,SB0801,,D102H,,,z,All Acute,d,16547,,12060,,183.8555556,,134,,72.88330211,
2021Q1,,SB0801,,SB0801,d,,z,All Acute,d,16547,,12060,,183.8555556,,134,,72.88330211,
2021Q2,,SB0801,,D102H,,,z,All Acute,d,16159,,12269,,177.5714286,,134.8241758,,75.92672814,
2021Q2,,SB0801,,SB0801,d,,z,All Acute,d,16159,,12269,,177.5714286,,134.8241758,,75.92672814,
2021Q3,,SB0801,,D102H,,,z,All Acute,d,16897,,12029,,183.6630435,,130.75,,71.1901521,
2021Q3,,SB0801,,SB0801,d,,z,All Acute,d,16897,,12029,,183.6630435,,130.75,,71.1901521,
2021Q4,,SB0801,,D102H,,,z,All Acute,d,17794,,12613,,193.4130435,,137.0978261,,70.88344386,
2021Q4,,SB0801,,SB0801,d,,z,All Acute,d,17794,,12613,,193.4130435,,137.0978261,,70.88344386,
2022Q1,,SB0801,,D102H,,,z,All Acute,d,17342,,12101,,192.6888889,,134.4555556,,69.77857225,
2022Q1,,SB0801,,SB0801,d,,z,All Acute,d,17342,,12101,,192.6888889,,134.4555556,,69.77857225,
2022Q2,p,SB0801,,D102H,,,z,All Acute,d,16909,,12412,,185.8131868,,136.3956044,,73.40469572,
2022Q2,p,SB0801,,SB0801,d,,z,All Acute,d,16909,,12412,,185.8131868,,136.3956044,,73.40469572,
2017Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,15604,,11614,,171.4725275,,127.6263736,,74.42963343,
2017Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15604,,11614,,171.4725275,,127.6263736,,74.42963343,
2017Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15426,,11658,,167.673913,,126.7173913,,75.57370673,
2017Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15426,,11658,,167.673913,,126.7173913,,75.57370673,
2017Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,16159,,12434,,175.6413043,,135.1521739,,76.94783093,
2017Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16159,,12434,,175.6413043,,135.1521739,,76.94783093,
2018Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,15681,,11871,,174.2333333,,131.9,,75.70308016,
2018Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15681,,11871,,174.2333333,,131.9,,75.70308016,
2018Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,15817,,12349,,173.8131868,,135.7032967,,78.07422394,
